t,time,c:c,dayCosFactor:c,daySinFactor:c,temperature:c,weekCosFactorT:c,weekSinFactorT:c
1577013300000,2019-12-22T12:15+01:00[Europe/Vienna],172402.5,-0.980785280402347,0.195090322020572,9.575,-0.99960662638302,0.028046256277035
1577014200000,2019-12-22T12:30+01:00[Europe/Vienna],168335,-0.991444861375421,0.130526192207817,9.62,-0.999825160912765,0.018698866429919
1577015100000,2019-12-22T12:45+01:00[Europe/Vienna],167150,-0.99785892323861,0.065403129230037,9.665,-0.999956289272868,0.009349841904344
1577016000000,2019-12-22T13:00+01:00[Europe/Vienna],163857.5,-1,-2.42524411026436E-12,9.71,-1,1.73247813832479E-13
1577016900000,2019-12-22T13:15+01:00[Europe/Vienna],164980,-0.997858923239245,-0.065403129220356,9.6925,-0.999956289272888,-0.009349841902178
1577017800000,2019-12-22T13:30+01:00[Europe/Vienna],161597.5,-0.991444861372889,-0.130526192227053,9.675,-0.999825160912737,-0.018698866431391
1577018700000,2019-12-22T13:45+01:00[Europe/Vienna],159312.5,-0.980785280404239,-0.195090322011057,9.6575,-0.999606626383081,-0.028046256274871
1577019600000,2019-12-22T14:00+01:00[Europe/Vienna],159215,-0.965925826289807,-0.258819045099765,9.64,-0.999300704788424,-0.037391194275659
1577020500000,2019-12-22T14:15+01:00[Europe/Vienna],162155,-0.946930129499955,-0.321439465288876,9.5875,-0.998907422872995,-0.04673286348205
1577021400000,2019-12-22T14:30+01:00[Europe/Vienna],160592.5,-0.923879532510604,-0.382683432366738,9.535,-0.998426815017817,-0.056070447237187
1577022300000,2019-12-22T14:45+01:00[Europe/Vienna],157367.5,-0.89687274153731,-0.44228869020963,9.4825,-0.997858923238701,-0.065403129228654
1577023200000,2019-12-22T15:00+01:00[Europe/Vienna],157990,-0.866025403788504,-0.499999999992959,9.43,-0.997203797181267,-0.074730093585266
1577024100000,2019-12-22T15:15+01:00[Europe/Vienna],157712.5,-0.83146961229769,-0.555570233026869,9.3675,-0.996461494117536,-0.084050524930233
1577025000000,2019-12-22T15:30+01:00[Europe/Vienna],156760,-0.793353340293362,-0.608761429005949,9.305,-0.99563207894118,-0.093363608452454
1577025900000,2019-12-22T15:45+01:00[Europe/Vienna],156235,-0.751839807479752,-0.659345815099186,9.2425,-0.994715624160422,-0.102668529994061
1577026800000,2019-12-22T16:00+01:00[Europe/Vienna],158017.5,-0.707106781196029,-0.707106781177066,9.18,-0.993712209893428,-0.111964476101663
