Time, trainValue,c_shift7~ConsumptionReferenceConfiguration~7~0~1.0~false,dayCos~DayCosFactorReferenceConfiguration~0~0~1.0~false,daySin~DaySinFactorReferenceConfiguration~0~0~1.0~false,temp_shift_7~ApparentTemReferenceConfiguration~7~0~1.0~false~telaviv,temperature~ApparentTemReferenceConfiguration~0~0~1.0~false~telaviv,weekCos~WeekCosFactorReferenceConfiguration~0~0~1.0~false,weekSin~WeekSinFactorReferenceConfiguration~0~0~1.0~false,yearCos~YearCosFactorReferenceConfiguration~0~0~1.0~false,yearSin~YearSinFactorReferenceConfiguration~0~0~1.0~false
2025-01-01T17:00+02:00[Asia/Jerusalem],5610930,5094190.833,-0.707106781199758,-0.707106781173337,15.2124998569489,14.5,0.943883330308173,-0.330279061955724,0.968476046462763,0.249106698881938
2025-01-01T17:30+02:00[Asia/Jerusalem],5776086.667,5210085.833,-0.608761429008319,-0.793353340291543,14.4500002264977,14.1062498688698,0.949894146672868,-0.312571767945576,0.968386647223763,0.249454006740158
2025-01-01T18:00+02:00[Asia/Jerusalem],5850856.667,5254426.667,-0.499999999995546,-0.86602540378701,13.7562500238419,13.7999997735024,0.955572805786357,-0.294755174410202,0.96829712343577,0.249801282514749
2025-01-01T18:30+02:00[Asia/Jerusalem],5874371.667,5272049.167,-0.382683432369498,-0.923879532509461,13.1500000953674,13.5500001311302,0.960917321945486,-0.276835511423507,0.968207475110255,0.250148526161209
2025-01-01T19:00+02:00[Asia/Jerusalem],5856010,5265023.333,-0.258819045102651,-0.965925826289034,12.6062499284744,13.3499999046326,0.96592582628866,-0.258819045104045,0.968117702258776,0.250495737634769
2025-01-01T19:30+02:00[Asia/Jerusalem],5836744.167,5254595,-0.130526192230015,-0.991444861372499,12.2562500238419,13.1562501192093,0.97059656745317,-0.240712075409862,0.968027804892853,0.250842916890881
2025-01-01T20:00+02:00[Asia/Jerusalem],5784620,5208948.333,-5.41262045114798E-12,-1,12.0500001311302,13.0500001907349,0.974927912181767,-0.222520933956562,0.967937783024073,0.251190063884784
2025-01-01T20:30+02:00[Asia/Jerusalem],5721150.833,5168960.833,0.130526192219283,-0.991444861373912,11.8999996781349,12.9937499761581,0.978918345897732,-0.20425198178928,0.967847636663989,0.251537178571938
2025-01-01T21:00+02:00[Asia/Jerusalem],5634737.5,5094189.167,0.258819045092195,-0.965925826291835,11.8000001311302,12.9062496423721,0.982566473232811,-0.185911607165436,0.967757365824222,0.251884260907591
2025-01-01T21:30+02:00[Asia/Jerusalem],5520541.667,4979605.833,0.382683432359497,-0.923879532513603,11.6999998688698,12.8499999046326,0.985871018517917,-0.167506223306614,0.967666970516354,0.252231310847211
